date,country,cases,deaths,vaccination_rate,mobility,daily_cases,case_growth_rate,7_day_moving_average,vaccination_ratio,mobility_change
2020-01-22,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-23,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-24,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-25,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-26,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-27,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-28,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-29,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-30,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-01-31,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-01,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-02,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-03,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-04,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-05,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-06,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-07,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-08,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-09,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-10,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-11,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-12,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-13,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-14,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-15,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-16,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
2020-02-17,Afghanistan,0,0,0.0,,0.0,,0.0,0.0,
